ID,Job URL,Job Title,Category,Company,Location,Salary Any,Salary B2B,Salary Internship,Salary Mandate,Salary Permanent,Work Type,Experience,Employment Type,Operating Mode,Tech Stack
1,https://justjoin.it/job-offer/link-group-data-engineer---spark-scala-java-warszawa-data,"Data Engineer - Spark, Scala/Java",Data,Link Group,Warszawa,N/A,22 000 - 30 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Scala: Regular; Java: Regular; Spark: Regular; CI/CD: Regular; GitHub Actions: Regular; Terraform: Nice To Have; Airflow: Nice To Have
2,https://justjoin.it/job-offer/airhelp-analytics-engineer-warszawa-data,Analytics Engineer,Data,AirHelp,Warszawa,N/A,17 000 - 20 000 PLN/month,N/A,N/A,15 000 - 18 000 PLN/month,Full-time,Mid,"Permanent, B2B",Hybrid,DBT: Advanced; Cloud Data Warehousing: Advanced; SQL: Advanced; Data Vizualization: Regular
3,https://justjoin.it/job-offer/devapo-data-engineer-warszawa-data-3c1c96c8,Data Engineer,Data,Devapo,Warszawa,N/A,11 000 - 16 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Data: Master
4,https://justjoin.it/job-offer/scalo-delphi-developer-lodz-data,Delphi Developer,Data,SCALO,Łódź,N/A,15 120 - 16 800 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Delphi: Regular; PL/SQL: Regular; MS SQL: Regular
5,https://justjoin.it/job-offer/connectpoint-data-engineer-warszawa-data,Data Engineer (GCP),Data,ConnectPoint,Warszawa,N/A,15 000 - 20 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,English: N/A; German: N/A; Data Fusion: Regular; ETL: Regular; ELT: Regular; Dataprep: Regular; GCP: Regular; Dataflow: Regular; GCS: Regular; BigQuery: Regular; Relacyjne Bazy Danych: Regular; SQL: Regular
6,https://justjoin.it/job-offer/experis-manpower-group-azure-data-architect-wroclaw-data,Azure Data Architect,Data,Experis Manpower Group,Wrocław,N/A,33 600 - 36 960 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,English: N/A; Azure Databricks: Advanced; Data architecture: Advanced; Azure Data Factory: Advanced; Azure Services: Advanced; Data Lake: Regular; GenAI: Nice To Have; Data security: Nice To Have
7,https://justjoin.it/job-offer/cornerstone-ondemand-database-administrator-krakow-data,Database Administrator,Data,Cornerstone OnDemand,Kraków,N/A,N/A,N/A,N/A,11 000 - 18 000 PLN/month,Full-time,Mid,Permanent,Hybrid,MongoDB: Regular; SQL: Regular; Oracle: Regular
8,https://justjoin.it/job-offer/radpoint-system-engineer-katowice-data,System Engineer,Data,Radpoint,Katowice,N/A,6 800 - 9 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Excel: Regular
9,https://justjoin.it/job-offer/nexio-management-senior-data-engineer-gcp--warszawa-data,Senior Data Engineer (GCP),Data,Nexio Management,Warszawa,N/A,20 000 - 23 500 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Polish: N/A; SQL: Master; GCP: Advanced; BigQuery: Advanced; BI: Advanced; Qlik Sense: Regular; Looker: Regular; Tableau: Regular
10,https://justjoin.it/job-offer/dcg-data-scientist-warszawa-data,Data Scientist,Data,DCG,Warszawa,N/A,19 000 - 21 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Time series modeling: Regular; English: Regular; Python: Regular
